textbox2
#Error

chart1_SeriesGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_Value_DataValue0
Tequila 100%,2014,47.522437
Tequila,2014,24.941004
Total,2014,72.463441

SubCategoria,Year,Valor
Tequila 100%,2014,47.5
Tequila,2014,24.9
Total,2014,72.5

