textbox2
#Error

chart1_SeriesGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_Value_DataValue0
Tequila 100%,1997,0.2181905
Tequila,1997,4.631011
Total,1997,4.8492015

SubCategoria,Year,Valor
Tequila 100%,1997,0.2
Tequila,1997,4.6
Total,1997,4.8

