textbox2
#Error

chart1_SeriesGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_Value_DataValue0
Tequila 100%,1999,4.06063625
Tequila,1999,12.597820125
Total,1999,16.658456375

SubCategoria,Year,Valor
Tequila 100%,1999,4.1
Tequila,1999,12.6
Total,1999,16.7

