textbox2
#Error

chart1_SeriesGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_Value_DataValue0
Tequila 100%,1999,5.598121375
Tequila,1999,10.5834905
Total,1999,16.181611875

SubCategoria,Year,Valor
Tequila 100%,1999,5.6
Tequila,1999,10.6
Total,1999,16.2

