textbox2
#Error

chart1_SeriesGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_Value_DataValue0
Tequila 100%,2006,34.713341
Tequila,2006,23.792924
Total,2006,58.506265

SubCategoria,Year,Valor
Tequila 100%,2006,34.7
Tequila,2006,23.8
Total,2006,58.5

