textbox2
#Error

chart1_SeriesGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_Value_DataValue0
Tequila 100%,2013,48.61249
Tequila,2013,18.638683
Total,2013,67.251173

SubCategoria,Year,Valor
Tequila 100%,2013,48.6
Tequila,2013,18.6
Total,2013,67.3

