Modelo,MAE,est__max_iter,est__max_depth,est__learning_rate,est__n_estimators,est__min_samples_split
HistGradientBoosting,18983.460843639015,100.0,,0.05,,
ExtraTrees,19208.43607657632,,10.0,,200.0,10.0
