textbox2
#Error

chart1_SeriesGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_Value_DataValue0
Tequila 100%,1998,25.565072
Tequila,1998,18.697403
Total,1998,44.262475

SubCategoria,Year,Valor
Tequila 100%,1998,25.6
Tequila,1998,18.7
Total,1998,44.3

