textbox2
#Error

chart1_SeriesGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_Value_DataValue0
Tequila 100%,2025,21.339484375
Tequila,2025,10.318144375
Total,2025,31.65762875

SubCategoria,Year,Valor
Tequila 100%,2025,21.3
Tequila,2025,10.3
Total,2025,31.7

