textbox2
#Error

chart1_SeriesGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_Value_DataValue0
Tequila 100%,2011,62.938018
Tequila,2011,16.241277
Total,2011,79.179295

SubCategoria,Year,Valor
Tequila 100%,2011,62.9
Tequila,2011,16.2
Total,2011,79.2

