Categoria,Clase,Porcentaje_Normalizado,Litros_Estimados
TEQUILA 100% DE AGAVE,BLANCO,0.3091142713256702,18249.039017417417
TEQUILA 100% DE AGAVE,EXTRA AÑEJO,0.19715720766617298,11639.480635542792
TEQUILA 100% DE AGAVE,JOVEN,0.17909092900217718,10572.909937189479
TEQUILA 100% DE AGAVE,REPOSADO,0.3146375920059797,18575.116794960344
