Categoria,Clase,Porcentaje_Normalizado,Litros_Estimados
TEQUILA 100% DE AGAVE,BLANCO,0.09573976138139358,817912.1436879863
TEQUILA 100% DE AGAVE,EXTRA AÑEJO,0.615799787639615,5260824.9396452885
TEQUILA 100% DE AGAVE,JOVEN,0.16154314697745947,1380075.526991188
TEQUILA 100% DE AGAVE,REPOSADO,0.1269173040015319,1084264.2877859427
