Valor,Year,Lag_1,Lag_12,MA_4,MA_12,Month_sin,Month_cos,Mes_Aug,Mes_Dec,Mes_Feb,Mes_Jan,Mes_Jul,Mes_Jun,Mes_Mar,Mes_May,Mes_Nov,Mes_Oct,Mes_Sep,Fecha
0.328,0.0,0.16000000000000003,0.11199999999999993,0.11527377521613846,0.016949152542373058,0.75,0.9330127018922194,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996-01-01
0.21600000000000003,0.0,0.328,0.312,0.05475504322766578,0.0,0.9330127018922193,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996-02-01
0.4399999999999999,0.0,0.21600000000000003,0.34400000000000003,0.08645533141210382,0.016949152542372836,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1996-03-01
0.336,0.0,0.4399999999999999,0.12799999999999995,0.1498559077809798,0.053672316384180796,0.9330127018922194,0.2500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996-04-01
0.25600000000000006,0.0,0.336,0.24799999999999994,0.12391930835734877,0.05508474576271216,0.75,0.06698729810778065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1996-05-01
0.304,0.0,0.25600000000000006,0.26399999999999996,0.1556195965417868,0.062146892655367436,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1996-06-01
0.424,0.0,0.304,0.304,0.1498559077809798,0.0833333333333337,0.2500000000000001,0.06698729810778059,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1996-07-01
0.448,0.0,0.424,0.27999999999999997,0.19020172910662836,0.11299435028248594,0.06698729810778081,0.24999999999999978,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996-08-01
0.35999999999999993,0.0,0.448,0.176,0.2276657060518733,0.1454802259887007,0.0,0.4999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1996-09-01
0.39199999999999996,0.0,0.35999999999999993,0.38399999999999995,0.25936599423631146,0.14689265536723162,0.0669872981077807,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1996-10-01
0.512,0.0,0.39199999999999996,0.3519999999999999,0.2910662824207494,0.17514124293785294,0.24999999999999978,0.9330127018922192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1996-11-01
0.38399999999999995,0.0,0.512,0.16000000000000003,0.26801152737752154,0.21468926553672318,0.4999999999999999,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996-12-01
0.288,0.043478260869562746,0.38399999999999995,0.328,0.24207492795389063,0.2076271186440679,0.75,0.9330127018922194,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1997-01-01
0.4080000000000001,0.043478260869562746,0.288,0.21600000000000003,0.24783861671469765,0.24152542372881358,0.9330127018922193,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1997-02-01
0.512,0.043478260869562746,0.4080000000000001,0.4399999999999999,0.24783861671469742,0.25423728813559343,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1997-03-01
0.456,0.043478260869562746,0.512,0.336,0.27377521613832834,0.2754237288135595,0.9330127018922194,0.2500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1997-04-01
0.4399999999999999,0.043478260869562746,0.456,0.25600000000000006,0.32853025936599434,0.3079096045197742,0.75,0.06698729810778065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1997-05-01
0.34400000000000003,0.043478260869562746,0.4399999999999999,0.304,0.3054755043227667,0.3149717514124295,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1997-06-01
0.464,0.043478260869562746,0.34400000000000003,0.424,0.28818443804034566,0.3220338983050848,0.2500000000000001,0.06698729810778059,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1997-07-01
0.328,0.043478260869562746,0.464,0.448,0.24207492795389063,0.30084745762711873,0.06698729810778081,0.24999999999999978,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1997-08-01
0.48800000000000004,0.043478260869562746,0.328,0.35999999999999993,0.25936599423631146,0.3234463276836157,0.0,0.4999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1997-09-01
0.432,0.043478260869562746,0.48800000000000004,0.39199999999999996,0.2910662824207494,0.3305084745762714,0.0669872981077807,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1997-10-01
0.536,0.043478260869562746,0.432,0.512,0.3170028818443805,0.3347457627118646,0.24999999999999978,0.9330127018922192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1997-11-01
0.35999999999999993,0.043478260869562746,0.536,0.38399999999999995,0.32853025936599434,0.3305084745762714,0.4999999999999999,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1997-12-01
0.192,0.08695652173912549,0.35999999999999993,0.288,0.2219020172910663,0.31355932203389814,0.75,0.9330127018922194,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998-01-01
0.328,0.08695652173912549,0.192,0.4080000000000001,0.18443804034582145,0.2994350282485876,0.9330127018922193,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998-02-01
0.37600000000000006,0.08695652173912549,0.328,0.512,0.12680115273775228,0.2754237288135595,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1998-03-01
0.26399999999999996,0.08695652173912549,0.37600000000000006,0.456,0.09221902017291073,0.24152542372881358,0.9330127018922194,0.2500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998-04-01
0.4719999999999999,0.08695652173912549,0.26399999999999996,0.4399999999999999,0.19308357348703187,0.24717514124293793,0.75,0.06698729810778065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1998-05-01
0.456,0.08695652173912549,0.4719999999999999,0.34400000000000003,0.23919308357348712,0.26694915254237306,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1998-06-01
0.4799999999999999,0.08695652173912549,0.456,0.464,0.27665706051873207,0.2697740112994349,0.2500000000000001,0.06698729810778059,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1998-07-01
0.464,0.08695652173912549,0.4799999999999999,0.328,0.3487031700288187,0.29378531073446346,0.06698729810778081,0.24999999999999978,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998-08-01
0.416,0.08695652173912549,0.464,0.48800000000000004,0.32853025936599434,0.2810734463276836,0.0,0.4999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1998-09-01
0.4399999999999999,0.08695652173912549,0.416,0.432,0.3227665706051873,0.28248587570621475,0.0669872981077807,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1998-10-01
0.5599999999999998,0.08695652173912549,0.4399999999999999,0.536,0.35158501440922196,0.2867231638418082,0.24999999999999978,0.9330127018922192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1998-11-01
0.4719999999999999,0.08695652173912549,0.5599999999999998,0.35999999999999993,0.35446685878962547,0.30649717514124286,0.4999999999999999,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998-12-01
0.39199999999999996,0.13043478260868824,0.4719999999999999,0.192,0.34582132564841517,0.3418079096045199,0.75,0.9330127018922194,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01
0.3519999999999999,0.13043478260868824,0.39199999999999996,0.328,0.314121037463977,0.3460451977401131,0.9330127018922193,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999-02-01
0.5840000000000001,0.13043478260868824,0.3519999999999999,0.37600000000000006,0.3227665706051873,0.38276836158192107,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1999-03-01
0.34400000000000003,0.13043478260868824,0.5840000000000001,0.26399999999999996,0.27665706051873207,0.3968926553672316,0.9330127018922194,0.2500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999-04-01
0.512,0.13043478260868824,0.34400000000000003,0.4719999999999999,0.3198847262247838,0.4039548022598871,0.75,0.06698729810778065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1999-05-01
0.552,0.13043478260868824,0.512,0.456,0.3919308357348704,0.42090395480225995,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1999-06-01
0.5599999999999998,0.13043478260868824,0.552,0.4799999999999999,0.3832853025936599,0.43502824858757094,0.2500000000000001,0.06698729810778059,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1999-07-01
0.5919999999999999,0.13043478260868824,0.5599999999999998,0.464,0.4726224783861671,0.4576271186440679,0.06698729810778081,0.24999999999999978,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999-08-01
