textbox2
#Error

chart1_SeriesGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_Value_DataValue0
Tequila 100%,2018,14.210713
Tequila,2018,14.393957875
Total,2018,28.604670875

SubCategoria,Year,Valor
Tequila 100%,2018,14.2
Tequila,2018,14.4
Total,2018,28.6

