textbox2
#Error

chart1_SeriesGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_Value_DataValue0
Tequila 100%,2000,9.200002
Tequila,2000,29.561362
Total,2000,38.761364

SubCategoria,Year,Valor
Tequila 100%,2000,9.2
Tequila,2000,29.6
Total,2000,38.8

