NombrePais,Total_Pais_Mes,Categoria,Total_Categoria_Mes,Clase,Litros 40 % Alc. Vol,AñoArchivo,Mes
FRANCIA,237830.2,TEQUILA,236536.45,JOVEN,66544.39,2005,7
PANAMA,150774.76,TEQUILA,131872.2,JOVEN,9211.2,2009,4
TAIWAN,10359.0,TEQUILA 100% DE AGAVE,1458.0,AÑEJO,378.0,2018,4
ESPAÑA,38279.22,TEQUILA 100% DE AGAVE,764.4,REPOSADO,348.6,2002,8
REINO UNIDO DE LA GRAN BRETAÑA E IRLANDA DEL NORTE,116991.32,TEQUILA,69402.06,BLANCO,8554.56,2009,3
ESTADOS UNIDOS DE AMERICA,14812219.77,TEQUILA,7298746.19,JOVEN,4539463.01,2016,3
ESTADOS UNIDOS DE AMERICA,13162420.41,TEQUILA 100% DE AGAVE,7807629.73,AÑEJO,803813.59,2019,12
BRASIL,108592.2,TEQUILA,85493.7,BLANCO,37614.6,2013,8
BERMUDAS,35.98,TEQUILA 100% DE AGAVE,35.98,AÑEJO,21.74,1998,6
AUSTRALIA,168769.1,TEQUILA,73275.47,REPOSADO,54463.5,2018,7
ESTADOS UNIDOS DE AMERICA,30546285.96,TEQUILA 100% DE AGAVE,23438836.16,AÑEJO,2622920.71,2022,5
COSTA RICA,9183.38,TEQUILA,8733.6,BLANCO,2940.0,2007,12
MEXICO,71407.0,TEQUILA 100% DE AGAVE,70215.38,AÑEJO,19617.45,2017,9
RUSIA,111755.4,TEQUILA 100% DE AGAVE,24570.0,REPOSADO,12558.0,2024,1
BELGICA,39873.42,TEQUILA,39098.1,BLANCO,33050.1,2012,4
ALEMANIA,70375.83,TEQUILA,66934.76,JOVEN,41971.17,2006,12
CHINA,207535.98,TEQUILA,199458.36,JOVEN,11970.0,2019,5
HONG KONG,4866.75,TEQUILA 100% DE AGAVE,4866.75,BLANCO,3827.25,2012,10
AUSTRIA,9191.0,TEQUILA 100% DE AGAVE,8529.5,AÑEJO,4013.1,2024,9
NORUEGA,8977.5,TEQUILA,8977.5,REPOSADO,2872.8,2011,8
JAPON,61496.0,TEQUILA 100% DE AGAVE,8165.99,BLANCO,5669.99,1999,4
REINO UNIDO DE LA GRAN BRETAÑA E IRLANDA DEL NORTE,22329.72,TEQUILA 100% DE AGAVE,13711.32,REPOSADO,10056.48,2006,12
COSTA RICA,18087.04,TEQUILA,15792.56,JOVEN,2338.15,1999,11
ESTADOS UNIDOS DE AMERICA,12277147.5,TEQUILA 100% DE AGAVE,5795559.15,REPOSADO,1587922.12,2016,10
ISLAS VIRGENES BRITANICAS,9190.8,TEQUILA 100% DE AGAVE,162.0,REPOSADO,162.0,2023,9
ESTADOS UNIDOS DE AMERICA,15245612.88,TEQUILA 100% DE AGAVE,9552714.06,AÑEJO,699668.65,2018,9
SEYCHELLES,16.65,TEQUILA 100% DE AGAVE,16.65,BLANCO,16.65,2016,3
SINGAPUR,56651.1,TEQUILA 100% DE AGAVE,35430.0,BLANCO,12491.4,2013,5
AUSTRALIA,84677.22,TEQUILA 100% DE AGAVE,9855.9,BLANCO,4990.32,2012,4
PORTUGAL,40376.6,TEQUILA,40376.6,BLANCO,40376.6,2006,10
REINO UNIDO DE LA GRAN BRETAÑA E IRLANDA DEL NORTE,102166.17,TEQUILA,80443.53,JOVEN,6369.75,2009,9
GRECIA,96558.0,TEQUILA,96558.0,REPOSADO,96558.0,2002,1
EMIRATOS ARABES UNIDOS,41474.13,TEQUILA 100% DE AGAVE,4088.25,AÑEJO,486.0,2017,12
PANAMA,21484.93,TEQUILA 100% DE AGAVE,109.93,BLANCO,19.95,1998,9
NORUEGA,10014.9,TEQUILA,6822.9,REPOSADO,2872.8,2008,4
BELGICA,66415.24,TEQUILA,65603.22,BLANCO,65603.22,2021,5
SINGAPUR,96433.5,TEQUILA 100% DE AGAVE,33893.2,EXTRA AÑEJO,1344.75,2023,8
PANAMA,12749.18,TEQUILA,9850.5,BLANCO,8662.5,2018,9
ESTONIA,40972.8,TEQUILA,40972.8,BLANCO,20486.4,1998,1
PARAGUAY,32832.0,TEQUILA,32832.0,REPOSADO,18468.0,2013,3
REPUBLICA CHECA,4644.36,TEQUILA 100% DE AGAVE,335.16,BLANCO,83.79,2020,7
REINO UNIDO DE LA GRAN BRETAÑA E IRLANDA DEL NORTE,466837.06,TEQUILA 100% DE AGAVE,263197.18,EXTRA AÑEJO,99.4,2022,8
IRLANDA,9906.62,TEQUILA 100% DE AGAVE,6315.62,REPOSADO,638.4,2023,10
MALASIA,8696.26,TEQUILA,8696.26,JOVEN,4331.25,1997,6
NUEVA ZELANDIA,1905.71,TEQUILA 100% DE AGAVE,1905.71,REPOSADO,1180.37,1997,10
ALEMANIA,221767.55,TEQUILA,221767.55,BLANCO,124457.3,1997,5
REPUBLICA DOMINICANA,5985.0,TEQUILA,5985.0,BLANCO,2992.5,2011,7
LETONIA,172571.44,TEQUILA 100% DE AGAVE,46931.47,BLANCO,30174.78,2018,11
ARGENTINA,10592.77,TEQUILA,10260.0,BLANCO,4924.8,2022,2
CHINA,9100.56,TEQUILA 100% DE AGAVE,2627.61,AÑEJO,457.01,2014,10
RUSIA,196440.06,TEQUILA,172868.31,BLANCO,98104.41,2008,5
ESPAÑA,373348.62,TEQUILA 100% DE AGAVE,6861.42,REPOSADO,2491.65,2007,5
TURQUIA,84161.26,TEQUILA 100% DE AGAVE,1383.2,REPOSADO,1369.9,2013,1
SAN MARTÍN,5.31,TEQUILA 100% DE AGAVE,3.56,REPOSADO,1.43,2022,10
ECUADOR,810.0,TEQUILA 100% DE AGAVE,810.0,AÑEJO,202.5,2008,2
FILIPINAS,2394.0,TEQUILA 100% DE AGAVE,684.0,AÑEJO,42.75,2008,6
COLOMBIA,31837.35,TEQUILA,30862.1,JOVEN,4186.88,2013,10
CROACIA,9192.96,TEQUILA,9192.96,REPOSADO,3830.4,2015,1
TURQUIA,43958.4,TEQUILA,43958.4,BLANCO,43958.4,2018,10
CANADA,56518.81,TEQUILA 100% DE AGAVE,9596.63,BLANCO,3082.5,2014,2
CHILE,55230.0,TEQUILA 100% DE AGAVE,8010.0,BLANCO,7200.0,2015,8
CHINA,42462.6,TEQUILA 100% DE AGAVE,752.4,AÑEJO,376.2,2013,12
NUEVA ZELANDIA,44735.04,TEQUILA 100% DE AGAVE,29796.48,REPOSADO,13925.1,2022,8
TAIWAN,11376.0,TEQUILA 100% DE AGAVE,1440.0,REPOSADO,900.0,2016,1
CHILE,16500.0,TEQUILA,16500.0,BLANCO,16500.0,1999,1
PAISES BAJOS,17088.09,TEQUILA 100% DE AGAVE,5955.99,JOVEN,90.0,2015,4
COLOMBIA,15633.5,TEQUILA,8459.0,REPOSADO,2838.5,2013,4
GUATEMALA,18304.05,TEQUILA,17027.25,REPOSADO,2763.75,2008,4
EMIRATOS ARABES UNIDOS,67893.27,TEQUILA 100% DE AGAVE,42863.67,AÑEJO,3920.58,2023,7
ESPAÑA,531324.04,TEQUILA,527086.51,REPOSADO,47496.96,2008,3
EMIRATOS ARABES UNIDOS,91934.16,TEQUILA 100% DE AGAVE,8478.0,AÑEJO,2182.5,2011,6
CHINA,118013.82,TEQUILA,111014.82,BLANCO,55478.4,2018,8
AUSTRIA,1852.89,TEQUILA 100% DE AGAVE,28.89,EXTRA AÑEJO,4.2,2012,4
AUSTRALIA,70182.9,TEQUILA 100% DE AGAVE,8173.17,BLANCO,2516.1,2009,6
VIETNAM,3.0,TEQUILA 100% DE AGAVE,3.0,BLANCO,0.75,2023,10
SUDAFRICA,115544.77,TEQUILA,108856.5,REPOSADO,44496.0,2021,11
HONDURAS,8791.2,TEQUILA 100% DE AGAVE,378.0,AÑEJO,378.0,2019,2
ISLAS VIRGENES NORTEAMERICANAS,337.5,TEQUILA 100% DE AGAVE,337.5,BLANCO,90.0,2024,1
PAISES BAJOS,42837.01,TEQUILA 100% DE AGAVE,8087.1,REPOSADO,3391.5,2016,10
INDIA,5985.0,TEQUILA 100% DE AGAVE,315.0,REPOSADO,90.0,2006,10
FRANCIA,44291.24,TEQUILA 100% DE AGAVE,10783.78,BLANCO,3321.0,2003,6
MALASIA,9378.0,TEQUILA 100% DE AGAVE,1098.0,REPOSADO,360.0,2014,11
TRINIDAD Y TOBAGO,8247.6,TEQUILA,7797.6,BLANCO,1641.6,2010,4
COREA DEL SUR,17762.55,TEQUILA 100% DE AGAVE,2304.0,REPOSADO,2304.0,2024,7
ITALIA,339394.75,TEQUILA 100% DE AGAVE,273562.35,BLANCO,135413.55,2022,12
LETONIA,103055.47,TEQUILA 100% DE AGAVE,71488.87,AÑEJO,11753.33,2021,3
BRASIL,28327.05,TEQUILA,28327.05,BLANCO,23057.25,1999,10
MEXICO,411074.51,TEQUILA 100% DE AGAVE,161353.99,BLANCO,56838.67,2003,8
CHINA,30444.0,TEQUILA,30444.0,REPOSADO,15621.0,2014,6
ESPAÑA,32267.4,TEQUILA,32267.4,BLANCO,32267.4,2005,9
MEXICO,40936.29,TEQUILA,33238.93,JOVEN,5255.31,1998,10
INDIA,92461.45,TEQUILA 100% DE AGAVE,2184.75,EXTRA AÑEJO,56.25,2019,11
ALEMANIA,410292.85,TEQUILA 100% DE AGAVE,1240.95,BLANCO,517.53,2006,4
REINO UNIDO DE LA GRAN BRETAÑA E IRLANDA DEL NORTE,103386.08,TEQUILA 100% DE AGAVE,93388.28,REPOSADO,28811.97,2017,5
CANADA,98111.39,TEQUILA,95800.16,BLANCO,31766.52,1998,4
REPUBLICA DOMINICANA,6156.0,TEQUILA,6156.0,JOVEN,4514.4,2007,5
TAIWAN,14092.8,TEQUILA 100% DE AGAVE,4653.6,BLANCO,2822.4,2022,9
HONG KONG,4275.0,TEQUILA,4275.0,BLANCO,1710.0,2013,11
SUDAFRICA,51189.96,TEQUILA 100% DE AGAVE,861.9,AÑEJO,423.06,2011,1
MEXICO,64045.11,TEQUILA 100% DE AGAVE,56432.0,BLANCO,10653.82,2009,10
GRECIA,160118.7,TEQUILA,152210.52,REPOSADO,148619.52,2010,3
PORTUGAL,116546.58,TEQUILA,114101.58,AÑEJO,3192.0,2008,12
GUATEMALA,9582.59,TEQUILA,8160.6,REPOSADO,4993.05,2010,3
SUDAFRICA,132822.9,TEQUILA,109310.4,REPOSADO,80002.8,2021,3
PARAGUAY,7797.6,TEQUILA,7797.6,REPOSADO,7797.6,2007,9
AUSTRALIA,69445.42,TEQUILA,42269.34,BLANCO,10077.6,2013,2
MEXICO,83904.47,TEQUILA 100% DE AGAVE,83904.47,BLANCO,14518.5,2023,12
GRECIA,31824.05,TEQUILA 100% DE AGAVE,2436.0,REPOSADO,1800.0,2005,3
ECUADOR,9028.8,TEQUILA,9028.8,BLANCO,4104.0,2012,10
PUERTO RICO,26256.0,TEQUILA,25104.0,BLANCO,10824.0,2012,10
LITUANIA,5711.4,TEQUILA,5711.4,REPOSADO,627.0,2021,1
EL SALVADOR,10146.0,TEQUILA 100% DE AGAVE,1596.0,AÑEJO,1596.0,2002,4
JAPON,95407.65,TEQUILA 100% DE AGAVE,12605.55,AÑEJO,6738.0,2010,3
NICARAGUA,5718.67,TEQUILA 100% DE AGAVE,119.7,REPOSADO,119.7,2006,2
GRECIA,112537.29,TEQUILA,103420.8,REPOSADO,102654.72,2009,3
ESPAÑA,345758.45,TEQUILA,333645.51,BLANCO,256124.7,2013,10
VENEZUELA,45.55,TEQUILA,8.99,BLANCO,4.5,1997,7
SUECIA,4346.42,TEQUILA 100% DE AGAVE,4346.42,AÑEJO,1943.18,2012,7
CHILE,103282.2,TEQUILA 100% DE AGAVE,32374.2,JOVEN,8.4,2012,8
COSTA RICA,2873.24,TEQUILA 100% DE AGAVE,1759.49,REPOSADO,1639.49,2005,9
LITUANIA,127917.12,TEQUILA 100% DE AGAVE,8251.32,REPOSADO,2984.52,2013,4
FILIPINAS,193603.58,TEQUILA,193603.58,JOVEN,129069.05,2004,12
CHINA,17543.25,TEQUILA 100% DE AGAVE,2.25,REPOSADO,0.75,2011,12
DINAMARCA,6385.9,TEQUILA,6385.9,REPOSADO,1.9,1998,3
AUSTRALIA,242995.41,TEQUILA,99013.95,REPOSADO,51351.3,2021,3
AUSTRIA,1226234.75,TEQUILA,1226234.75,BLANCO,96801.38,1999,11
QATAR,3550.49,TEQUILA 100% DE AGAVE,94.5,AÑEJO,94.5,2006,4
URUGUAY,37751.4,TEQUILA,37346.4,BLANCO,2462.4,2015,7
ESTADOS UNIDOS DE AMERICA,7659297.41,TEQUILA 100% DE AGAVE,2198500.2,EXTRA AÑEJO,2853.0,2009,1
SINGAPUR,79089.68,TEQUILA,68142.0,BLANCO,240.0,2011,8
TAILANDIA,13971.96,TEQUILA,12113.64,BLANCO,4213.44,2019,5
AUSTRALIA,178890.06,TEQUILA,96389.71,JOVEN,2715.16,2016,6
ISLAS VIRGENES NORTEAMERICANAS,8118.0,TEQUILA,7056.0,BLANCO,1512.0,2013,6
ALEMANIA,265668.73,TEQUILA 100% DE AGAVE,44634.62,AÑEJO,12095.75,2011,7
HUNGRIA,7668.99,TEQUILA 100% DE AGAVE,8.19,BLANCO,4.2,2014,2
COREA DEL SUR,54989.35,TEQUILA 100% DE AGAVE,9535.75,EXTRA AÑEJO,49.87,2021,1
HONG KONG,2013.12,TEQUILA,1800.0,REPOSADO,1800.0,2002,7
HONDURAS,28631.31,TEQUILA,13539.0,JOVEN,1911.0,2016,10
AUSTRALIA,44738.42,TEQUILA 100% DE AGAVE,44379.32,REPOSADO,37201.83,2014,7
GEORGIA,7282.8,TEQUILA 100% DE AGAVE,2394.0,REPOSADO,2394.0,2016,9
LETONIA,38805.0,TEQUILA,33720.0,JOVEN,18888.0,2013,10
UCRANIA,10430.59,TEQUILA 100% DE AGAVE,854.59,REPOSADO,335.16,2020,12
LETONIA,30947.51,TEQUILA 100% DE AGAVE,4426.46,REPOSADO,2603.96,2008,5
CHILE,72878.4,TEQUILA,72878.4,REPOSADO,18878.4,2013,11
COLOMBIA,24197.5,TEQUILA 100% DE AGAVE,7910.57,REPOSADO,5097.0,2012,2
ITALIA,63265.08,TEQUILA,61719.47,BLANCO,51970.68,1999,4
SINGAPUR,51036.45,TEQUILA 100% DE AGAVE,42737.25,BLANCO,24770.25,2018,5
LETONIA,26802.3,TEQUILA 100% DE AGAVE,13060.8,BLANCO,6784.05,2024,6
COREA DEL SUR,40183.24,TEQUILA 100% DE AGAVE,7642.84,BLANCO,3.09,2020,3
COLOMBIA,27735.68,TEQUILA,20583.68,JOVEN,2362.5,2012,5
ESTADOS UNIDOS DE AMERICA,9912825.81,TEQUILA 100% DE AGAVE,3593462.19,REPOSADO,1112967.62,2012,1
MEXICO,17176.78,TEQUILA 100% DE AGAVE,6905.99,AÑEJO,662.19,1997,7
BIELORRUSIA,18896.82,TEQUILA,16710.3,BLANCO,5773.05,2019,7
LETONIA,72561.0,TEQUILA,66760.68,REPOSADO,1244.88,2015,9
FRANCIA,162336.93,TEQUILA 100% DE AGAVE,1518.3,AÑEJO,399.0,2016,1
PERU,75438.0,TEQUILA,73008.0,REPOSADO,58233.6,2021,10
COLOMBIA,14511.15,TEQUILA,14286.0,BLANCO,6197.25,2010,10
GRECIA,3627.93,TEQUILA 100% DE AGAVE,3627.93,AÑEJO,342.0,2009,4
ALEMANIA,207915.41,TEQUILA,207695.29,JOVEN,39196.04,1999,1
ESPAÑA,276329.96,TEQUILA 100% DE AGAVE,14632.8,BLANCO,5770.38,2018,5
SUDAFRICA,115544.77,TEQUILA,108856.5,JOVEN,12.0,2021,11
TAIWAN,11065.61,TEQUILA 100% DE AGAVE,1129.61,AÑEJO,948.0,2017,3
BRASIL,25756.73,TEQUILA 100% DE AGAVE,19190.33,AÑEJO,3783.38,2023,11
ALEMANIA,292500.98,TEQUILA,289760.91,BLANCO,288032.13,2007,5
CHINA,26031.83,TEQUILA,24283.2,REPOSADO,15984.0,2017,11
RUSIA,42972.36,TEQUILA 100% DE AGAVE,25524.6,AÑEJO,1935.0,2017,10
SUDAFRICA,96062.4,TEQUILA,96053.4,BLANCO,21362.4,2011,5
ESPAÑA,588628.32,TEQUILA,561861.93,JOVEN,133574.29,2021,6
COREA DEL SUR,42796.8,TEQUILA,37585.8,AÑEJO,3112.2,2018,11
PANAMA,75624.3,TEQUILA,59029.2,JOVEN,12375.0,2014,6
PERU,55270.8,TEQUILA 100% DE AGAVE,1436.4,BLANCO,718.2,2024,1
MEXICO,302647.36,TEQUILA,262569.51,REPOSADO,12046.15,2006,1
ESTADOS UNIDOS DE AMERICA,8987697.68,TEQUILA 100% DE AGAVE,2064096.4,REPOSADO,1250797.31,2005,6
SINGAPUR,65826.75,TEQUILA 100% DE AGAVE,20151.75,EXTRA AÑEJO,131.4,2014,9
ITALIA,118685.43,TEQUILA 100% DE AGAVE,69279.0,BLANCO,49208.4,2017,10
RUSIA,29052.0,TEQUILA,28506.0,JOVEN,661.5,2019,12
BOLIVIA,900.01,TEQUILA,900.01,JOVEN,900.01,1998,12
REINO UNIDO DE LA GRAN BRETAÑA E IRLANDA DEL NORTE,218612.92,TEQUILA 100% DE AGAVE,107713.72,BLANCO,59456.88,2018,3
REINO UNIDO DE LA GRAN BRETAÑA E IRLANDA DEL NORTE,106858.71,TEQUILA 100% DE AGAVE,5281.11,AÑEJO,285.97,2006,6
MEXICO,34562.56,TEQUILA 100% DE AGAVE,23587.58,REPOSADO,15234.53,1998,6
CANADA,37340.74,TEQUILA,37340.74,JOVEN,5129.99,2002,4
LETONIA,10708.69,TEQUILA,4611.29,JOVEN,1977.9,2004,9
COREA DEL SUR,36847.68,TEQUILA 100% DE AGAVE,1608.0,REPOSADO,1140.0,2006,11
COLOMBIA,135013.99,TEQUILA,51632.55,REPOSADO,38690.4,2020,1
FRANCIA,628896.94,TEQUILA,598734.63,BLANCO,417831.52,2022,9
GUATEMALA,24735.18,TEQUILA 100% DE AGAVE,5658.32,BLANCO,1260.75,2019,12
REPUBLICA CHECA,3622.5,TEQUILA 100% DE AGAVE,3622.5,EXTRA AÑEJO,10.5,2011,12
HONDURAS,724.5,TEQUILA,514.5,JOVEN,514.5,2008,5
GRECIA,20489.69,TEQUILA 100% DE AGAVE,6125.69,REPOSADO,1547.7,1998,3
SAN MARTÍN,5.31,TEQUILA,1.75,BLANCO,0.88,2022,10
GRECIA,22953.0,TEQUILA 100% DE AGAVE,13377.0,REPOSADO,9450.0,2023,8
SUECIA,7563.0,TEQUILA,2274.3,REPOSADO,2274.3,2023,10
BELICE,391.2,TEQUILA 100% DE AGAVE,391.2,BLANCO,115.2,2017,9
COSTA RICA,13843.5,TEQUILA 100% DE AGAVE,5570.25,BLANCO,2415.0,2015,12
REINO UNIDO DE LA GRAN BRETAÑA E IRLANDA DEL NORTE,173999.95,TEQUILA,134542.8,JOVEN,6235.8,2017,9
ALEMANIA,233993.84,TEQUILA,206584.19,BLANCO,156753.55,2018,12
REINO UNIDO DE LA GRAN BRETAÑA E IRLANDA DEL NORTE,261232.44,TEQUILA 100% DE AGAVE,90540.24,EXTRA AÑEJO,420.0,2016,9
ESPAÑA,723865.81,TEQUILA,703101.01,BLANCO,315644.96,2013,9
BELGICA,2.25,TEQUILA 100% DE AGAVE,2.25,EXTRA AÑEJO,0.75,2011,8
BELGICA,26608.04,TEQUILA,26608.04,AÑEJO,24446.72,1997,7
NUEVA ZELANDIA,29110.65,TEQUILA 100% DE AGAVE,15531.52,EXTRA AÑEJO,0.75,2023,2
EL SALVADOR,136570.89,TEQUILA,135490.2,REPOSADO,5785.49,2004,8
ESTADOS UNIDOS DE AMERICA,17479721.4,TEQUILA,5320444.18,BLANCO,2621078.64,2021,1
SUECIA,10198.78,TEQUILA,10136.31,BLANCO,3227.91,2017,8
BELGICA,27342.56,TEQUILA,26672.96,JOVEN,4559.99,2006,4
URUGUAY,7875.0,TEQUILA,7875.0,BLANCO,6300.0,2012,12
NUEVA ZELANDIA,8264.09,TEQUILA 100% DE AGAVE,864.87,BLANCO,660.27,2012,9
EMIRATOS ARABES UNIDOS,27199.92,TEQUILA 100% DE AGAVE,1458.0,REPOSADO,756.0,2010,10
TURQUIA,47266.8,TEQUILA 100% DE AGAVE,6830.88,BLANCO,6128.64,2014,7
PANAMA,42221.15,TEQUILA,42221.15,BLANCO,1181.25,2005,10
AUSTRALIA,59319.54,TEQUILA 100% DE AGAVE,21853.44,REPOSADO,15350.04,2012,2
ESTADOS UNIDOS DE AMERICA,19966071.69,TEQUILA 100% DE AGAVE,13614574.21,AÑEJO,1503130.73,2020,12
INDIA,4343.7,TEQUILA 100% DE AGAVE,4343.7,BLANCO,814.5,2007,9
POLONIA,21968.94,TEQUILA 100% DE AGAVE,8937.6,BLANCO,6703.2,2023,3
HONDURAS,43712.81,TEQUILA 100% DE AGAVE,18638.81,REPOSADO,4096.61,2023,6
URUGUAY,18627.19,TEQUILA,12237.19,JOVEN,5016.66,2013,9
BELGICA,28540.97,TEQUILA 100% DE AGAVE,985.8,EXTRA AÑEJO,940.8,2023,5
ALEMANIA,682373.76,TEQUILA 100% DE AGAVE,93350.35,REPOSADO,17979.85,2023,6
CHINA,68322.6,TEQUILA,52703.1,BLANCO,33807.3,2020,12
BRASIL,71707.5,TEQUILA 100% DE AGAVE,10885.5,BLANCO,3600.0,2011,6
JAPON,81505.44,TEQUILA,67959.9,REPOSADO,36849.9,2007,11
ESPAÑA,168015.07,TEQUILA,164867.95,BLANCO,128335.51,2009,3
GUATEMALA,16843.23,TEQUILA 100% DE AGAVE,2985.48,BLANCO,573.75,2011,1
AUSTRALIA,86876.05,TEQUILA 100% DE AGAVE,47225.95,EXTRA AÑEJO,58.28,2016,10
ALEMANIA,553451.1,TEQUILA 100% DE AGAVE,16761.12,REPOSADO,895.98,2013,3
EL SALVADOR,25852.97,TEQUILA 100% DE AGAVE,11497.67,REPOSADO,9187.9,2014,10
EL SALVADOR,9602.9,TEQUILA 100% DE AGAVE,4436.9,AÑEJO,978.38,2010,3
AUSTRALIA,104366.34,TEQUILA 100% DE AGAVE,80564.26,REPOSADO,24118.02,2018,10
PANAMA,67879.28,TEQUILA 100% DE AGAVE,24870.08,AÑEJO,2724.08,2018,5
JAPON,188419.54,TEQUILA,167256.0,BLANCO,70272.0,2019,5
HONG KONG,4209.0,TEQUILA,1881.0,BLANCO,1881.0,2015,12
IRLANDA,7182.0,TEQUILA,7182.0,REPOSADO,7182.0,2001,1
REINO UNIDO DE LA GRAN BRETAÑA E IRLANDA DEL NORTE,129145.8,TEQUILA,44888.4,AÑEJO,456.0,2017,1
LETONIA,43636.58,TEQUILA 100% DE AGAVE,20160.08,REPOSADO,5649.38,2007,10
SUDAFRICA,96957.57,TEQUILA,90421.32,REPOSADO,20041.2,2013,9
SERBIA,12665.4,TEQUILA,7022.4,JOVEN,1915.2,2023,3
ITALIA,48518.94,TEQUILA,46703.5,REPOSADO,35909.98,2006,6
PANAMA,14866.43,TEQUILA 100% DE AGAVE,10514.1,BLANCO,3055.2,2010,8
ESTADOS UNIDOS DE AMERICA,22691413.02,TEQUILA 100% DE AGAVE,15344027.82,BLANCO,8981859.33,2021,12
ITALIA,53975.95,TEQUILA 100% DE AGAVE,13326.12,BLANCO,8548.2,2015,7
FILIPINAS,98575.18,TEQUILA 100% DE AGAVE,839.17,REPOSADO,45.0,2020,2
REINO UNIDO DE LA GRAN BRETAÑA E IRLANDA DEL NORTE,84297.69,TEQUILA 100% DE AGAVE,9309.06,AÑEJO,1293.9,2008,6
PERU,53941.05,TEQUILA 100% DE AGAVE,324.0,REPOSADO,324.0,2021,6
NICARAGUA,1018.5,TEQUILA 100% DE AGAVE,1018.5,REPOSADO,900.38,2020,10
CHINA,49603.13,TEQUILA 100% DE AGAVE,25656.56,AÑEJO,1710.0,2013,11
EL SALVADOR,9405.0,TEQUILA,9405.0,BLANCO,855.0,2002,7
EL SALVADOR,37762.2,TEQUILA 100% DE AGAVE,11927.85,EXTRA AÑEJO,3.0,2024,12
SUIZA,13224.57,TEQUILA,12065.76,REPOSADO,8714.16,2025,3
ITALIA,102690.12,TEQUILA 100% DE AGAVE,4599.84,REPOSADO,2635.92,2013,12
AUSTRALIA,80251.57,TEQUILA 100% DE AGAVE,80251.57,AÑEJO,978.0,2024,4
SUDAFRICA,114838.57,TEQUILA 100% DE AGAVE,72063.62,REPOSADO,45058.5,2022,6
UCRANIA,7200.0,TEQUILA 100% DE AGAVE,4800.0,BLANCO,4200.0,2017,2
JAPON,196947.25,TEQUILA 100% DE AGAVE,161141.94,AÑEJO,63000.0,2024,1
JAPON,72483.06,TEQUILA,71957.25,REPOSADO,29162.1,2007,9
PUERTO RICO,23328.0,TEQUILA,23328.0,REPOSADO,13392.0,2012,3
PAISES BAJOS,158304.47,TEQUILA 100% DE AGAVE,94695.61,REPOSADO,7545.77,2023,8
PANAMA,120460.95,TEQUILA,77229.6,JOVEN,6000.0,2014,1
CHINA,210720.0,TEQUILA,198430.5,BLANCO,187750.5,2024,4
AUSTRIA,19790.4,TEQUILA 100% DE AGAVE,5426.4,AÑEJO,3192.0,2023,8
BAHAMAS,311.27,TEQUILA 100% DE AGAVE,311.27,BLANCO,147.0,2015,5
BRASIL,134966.25,TEQUILA,111656.25,JOVEN,9900.0,2014,7
RUSIA,260723.18,TEQUILA 100% DE AGAVE,11946.25,BLANCO,3685.78,2006,10
CHINA,136710.24,TEQUILA,132066.0,REPOSADO,73008.0,2018,12
RUSIA,52292.58,TEQUILA 100% DE AGAVE,28663.88,BLANCO,17705.03,2016,7
BELGICA,9204.75,TEQUILA,8568.0,BLANCO,3024.0,2011,7
URUGUAY,20641.39,TEQUILA,20641.39,BLANCO,7456.95,2010,6
ALEMANIA,577695.25,TEQUILA 100% DE AGAVE,1276.8,REPOSADO,1276.8,2006,7
CANADA,402552.13,TEQUILA 100% DE AGAVE,308967.33,EXTRA AÑEJO,3186.0,2023,6
ISLAS VIRGENES NORTEAMERICANAS,9090.0,TEQUILA 100% DE AGAVE,1800.0,AÑEJO,1800.0,2001,10
TAILANDIA,99.68,TEQUILA 100% DE AGAVE,99.68,REPOSADO,22.5,2023,2
REINO UNIDO DE LA GRAN BRETAÑA E IRLANDA DEL NORTE,123897.7,TEQUILA 100% DE AGAVE,8662.71,REPOSADO,2905.75,2001,3
LETONIA,77187.0,TEQUILA,45178.2,JOVEN,21888.0,2022,4
NUEVA ZELANDIA,13103.37,TEQUILA 100% DE AGAVE,3124.17,AÑEJO,2.0,2011,11
CHILE,78640.0,TEQUILA,71620.0,BLANCO,37420.01,1998,2
REINO UNIDO DE LA GRAN BRETAÑA E IRLANDA DEL NORTE,297490.21,TEQUILA 100% DE AGAVE,276058.21,AÑEJO,35744.7,2024,11
JAPON,103291.46,TEQUILA,102913.46,REPOSADO,44100.0,2007,6
RUSIA,239.42,TEQUILA 100% DE AGAVE,239.42,BLANCO,71.4,2002,12
SUECIA,43647.76,TEQUILA 100% DE AGAVE,14825.26,REPOSADO,5601.96,2024,10
COLOMBIA,15489.54,TEQUILA,15489.54,BLANCO,9482.5,1997,5
ARGENTINA,24517.12,TEQUILA,24413.1,REPOSADO,5.71,1998,4
SINGAPUR,133296.0,TEQUILA 100% DE AGAVE,42926.4,AÑEJO,10603.5,2011,9
MEXICO,114562.62,TEQUILA 100% DE AGAVE,105447.95,EXTRA AÑEJO,2587.88,2013,4
SUECIA,11176.56,TEQUILA 100% DE AGAVE,1600.56,AÑEJO,638.4,2023,12
PUERTO RICO,33021.75,TEQUILA 100% DE AGAVE,18621.75,REPOSADO,5928.0,2019,1
MALASIA,8100.0,TEQUILA 100% DE AGAVE,1188.0,AÑEJO,378.0,2016,8
REINO UNIDO DE LA GRAN BRETAÑA E IRLANDA DEL NORTE,75897.99,TEQUILA,74604.06,JOVEN,16252.56,1999,8
