NombrePais,Total_Pais_Mes,Categoria,Total_Categoria_Mes,Clase,Litros 40 % Alc. Vol,AñoArchivo,Mes
BELGICA,53543.43,TEQUILA,50217.24,REPOSADO,8977.5,2018,1
HONDURAS,24233.85,TEQUILA,11130.6,REPOSADO,8398.8,2015,6
COSTA RICA,50512.88,TEQUILA,42865.43,BLANCO,11793.3,2024,9
FRANCIA,178923.73,TEQUILA,178025.98,JOVEN,33504.6,1999,8
MALASIA,8268.75,TEQUILA 100% DE AGAVE,924.75,EXTRA AÑEJO,168.75,2013,2
MEXICO,100336.2,TEQUILA 100% DE AGAVE,99616.14,AÑEJO,38287.13,2019,7
NUEVA ZELANDIA,1755.6,TEQUILA 100% DE AGAVE,378.0,AÑEJO,378.0,2006,10
FRANCIA,147726.58,TEQUILA 100% DE AGAVE,9200.26,BLANCO,5019.01,1998,8
ALEMANIA,662651.86,TEQUILA 100% DE AGAVE,34885.95,JOVEN,0.67,2013,8
SINGAPUR,20312.64,TEQUILA 100% DE AGAVE,2037.84,AÑEJO,378.0,2009,1
ESTADOS UNIDOS DE AMERICA,9288181.75,TEQUILA,6416007.32,JOVEN,4785026.98,2008,8
ISRAEL,37621.5,TEQUILA,36451.5,REPOSADO,32518.5,2015,10
ESPAÑA,367399.98,TEQUILA,355407.75,JOVEN,29328.27,2018,6
LIBANO,18515.16,TEQUILA 100% DE AGAVE,895.32,REPOSADO,335.16,2014,9
ITALIA,32966.37,TEQUILA,32889.0,BLANCO,7695.0,2008,5
PANAMA,6450.0,TEQUILA,6276.75,BLANCO,3420.01,1998,2
QATAR,9450.0,TEQUILA,9450.0,BLANCO,9450.0,2024,10
GRECIA,11521.65,TEQUILA 100% DE AGAVE,11521.65,EXTRA AÑEJO,90.44,2020,1
LITUANIA,11350.13,TEQUILA 100% DE AGAVE,11350.13,BLANCO,2629.13,2010,5
AUSTRIA,9085.23,TEQUILA,8686.23,REPOSADO,2063.4,2007,9
REINO UNIDO DE LA GRAN BRETAÑA E IRLANDA DEL NORTE,84297.69,TEQUILA,74988.63,BLANCO,9835.35,2008,6
GUATEMALA,15238.5,TEQUILA,8050.2,REPOSADO,6084.0,2019,6
URUGUAY,6145.2,TEQUILA 100% DE AGAVE,810.0,REPOSADO,405.0,2019,11
