textbox2
#Error

chart1_SeriesGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_Value_DataValue0
Tequila 100%,2006,1.57563175
Tequila,2006,6.880091625
Total,2006,8.455723375

SubCategoria,Year,Valor
Tequila 100%,2006,1.6
Tequila,2006,6.9
Total,2006,8.5

