textbox2
#Error

chart1_SeriesGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_Value_DataValue0
Tequila 100%,2006,1.976491
Tequila,2006,9.16517525
Total,2006,11.14166625

SubCategoria,Year,Valor
Tequila 100%,2006,2.0
Tequila,2006,9.2
Total,2006,11.1

