textbox2
#Error

chart1_SeriesGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_Value_DataValue0
Tequila 100%,2016,6.84476925
Tequila,2016,9.181348
Total,2016,16.02611725

SubCategoria,Year,Valor
Tequila 100%,2016,6.8
Tequila,2016,9.2
Total,2016,16.0

