textbox2
#Error

chart1_SeriesGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_Value_DataValue0
Granel,1998,5.788674375
Envasado,1998,1.004562625
Total,1998,6.793237

SubCategoria,Year,Valor
Granel,1998,5.8
Envasado,1998,1.0
Total,1998,6.8

