textbox2
#Error

chart1_SeriesGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_Value_DataValue0
Tequila 100%,2018,7.98409425
Tequila,2018,6.445762125
Total,2018,14.429856375

SubCategoria,Year,Valor
Tequila 100%,2018,8.0
Tequila,2018,6.4
Total,2018,14.4

