textbox2
#Error

chart1_SeriesGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_Value_DataValue0
Granel,2018,7.052494625
Envasado,2018,12.245226125
Total,2018,19.29772075

SubCategoria,Year,Valor
Granel,2018,7.1
Envasado,2018,12.2
Total,2018,19.3

