textbox2
#Error

chart1_SeriesGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_Value_DataValue0
Tequila 100%,2008,11.7176565
Tequila,2008,10.533567
Total,2008,22.2512235

SubCategoria,Year,Valor
Tequila 100%,2008,11.7
Tequila,2008,10.5
Total,2008,22.3

