textbox2
#Error

chart1_SeriesGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_Value_DataValue0
Tequila 100%,2008,12.80292475
Tequila,2008,15.661702375
Total,2008,28.464627125

SubCategoria,Year,Valor
Tequila 100%,2008,12.8
Tequila,2008,15.7
Total,2008,28.5

