textbox2
#Error

chart1_SeriesGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_Value_DataValue0
Tequila 100%,2019,8.44914125
Tequila,2019,7.367096
Total,2019,15.81623725

SubCategoria,Year,Valor
Tequila 100%,2019,8.4
Tequila,2019,7.4
Total,2019,15.8

