textbox2
#Error

chart1_SeriesGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_Value_DataValue0
Granel,1997,5.906151625
Envasado,1997,0.9745175
Total,1997,6.880669125

SubCategoria,Year,Valor
Granel,1997,5.9
Envasado,1997,1.0
Total,1997,6.9

