textbox2
#Error

chart1_SeriesGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_Value_DataValue0
Granel,1997,5.48826025
Envasado,1997,1.426830625
Total,1997,6.915090875

SubCategoria,Year,Valor
Granel,1997,5.5
Envasado,1997,1.4
Total,1997,6.9

