0
Total_Categoria_Mes
Litros 40 % Alc. Vol
AñoArchivo
Categoria_TEQUILA 100% DE AGAVE
Clase_BLANCO
Clase_EXTRA AÑEJO
Clase_JOVEN
Clase_REPOSADO
Mes_Aug
Mes_Dec
Mes_Feb
Mes_Jan
Mes_Jul
Mes_Jun
Mes_Mar
Mes_May
Mes_Nov
Mes_Oct
Mes_Sep
Continente_Asia
Continente_Europa
Continente_Otro
FA1
FA2
FA3
Year
