textbox2
#Error

chart1_SeriesGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_Value_DataValue0
Tequila 100%,2011,12.91500375
Tequila,2011,9.6959775
Total,2011,22.61098125

SubCategoria,Year,Valor
Tequila 100%,2011,12.9
Tequila,2011,9.7
Total,2011,22.6

