textbox2
#Error

chart1_SeriesGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_Value_DataValue0
Tequila 100%,2011,13.402772625
Tequila,2011,7.163618
Total,2011,20.566390625

SubCategoria,Year,Valor
Tequila 100%,2011,13.4
Tequila,2011,7.2
Total,2011,20.6

