textbox2
#Error

chart1_SeriesGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_Value_DataValue0
Tequila 100%,2020,110.963321
Tequila,2020,27.630285
Total,2020,138.593606

SubCategoria,Year,Valor
Tequila 100%,2020,111.0
Tequila,2020,27.6
Total,2020,138.6

