textbox2
#Error

chart1_SeriesGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_Value_DataValue0
Granel,2013,6.704457375
Envasado,2013,7.282488125
Total,2013,13.9869455

SubCategoria,Year,Valor
Granel,2013,6.7
Envasado,2013,7.3
Total,2013,14.0

