textbox2
#Error

chart1_SeriesGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_Value_DataValue0
Granel,2013,5.12555175
Envasado,2013,5.713615875
Total,2013,10.839167625

SubCategoria,Year,Valor
Granel,2013,5.1
Envasado,2013,5.7
Total,2013,10.8

