textbox2
#Error

chart1_SeriesGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_Value_DataValue0
Tequila 100%,1998,5.253263125
Tequila,1998,8.868952125
Total,1998,14.12221525

SubCategoria,Year,Valor
Tequila 100%,1998,5.3
Tequila,1998,8.9
Total,1998,14.1

