textbox2
#Error

chart1_SeriesGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_label,chart1_SeriesGroup1_chart1_CategoryGroup1_Value_DataValue0
Tequila 100%,1995,5.173447
Tequila,1995,18.221262
Total,1995,23.394709

SubCategoria,Year,Valor
Tequila 100%,1995,5.2
Tequila,1995,18.2
Total,1995,23.4

